fw_taxon_id	canonical_name	rank	gbif_taxon_id	inat_taxon_id	worms_aphia_id	wikidata_qid	merged_into	created_on
42455	Trachinops brauni	species	2389725	524831				2026-09-13
42456	Trachinops caudimaculatus	species	2389723	515892				2026-09-13
42457	Trachinops noarlungae	species	2389722	525080				2026-09-13
42458	Trachinops taeniatus	species	2389726	470951				2026-09-13
42459	Trachinotidae	family		1689400				2026-09-13
42460	Trachinotus	genus	2391252	51412				2026-09-13
42461	Trachinotus africanus	species	5210673	429398				2026-09-13
42462	Trachinotus anak	species	5210694	529706				2026-09-13
42463	Trachinotus baillonii	species	5210663	201238				2026-09-13
42464	Trachinotus blochii	species	5210675	180751				2026-09-13
42465	Trachinotus botla	species	5210646	529707				2026-09-13
42466	Trachinotus carolinus	species	5210681	179446				2026-09-13
42467	Trachinotus cayennensis	species	5210644	609916				2026-09-13
42468	Trachinotus coppingeri	species	5210660	520894				2026-09-13
42469	Trachinotus falcatus	species	9819074	179445				2026-09-13
42470	Trachinotus goodei	species	5210682	114269				2026-09-13
42471	Trachinotus goreensis	species	5210676	609917				2026-09-13
42472	Trachinotus kennedyi	species	5210695	114270				2026-09-13
42473	Trachinotus macrospilus	species	8912290	1236174				2026-09-13
42474	Trachinotus marginatus	species	5210653	556103				2026-09-13
42475	Trachinotus maxillosus	species	5210654	609918				2026-09-13
42476	Trachinotus mookalee	species	5210680	609919				2026-09-13
42477	Trachinotus ovatus	species	5210674	51401				2026-09-13
42478	Trachinotus paitensis	species	5210696	114271				2026-09-13
42479	Trachinotus rhodopus	species	5210651	85122				2026-09-13
42480	Trachinotus stilbe	species	5210684	83315				2026-09-13
42481	Trachinotus teraia	species	5210657	609920				2026-09-13
42482	Trachinus	genus	2335090	92580				2026-09-13
42483	Trachinus araneus	species	2386478	118648				2026-09-13
42484	Trachinus armatus	species	2386473	118651				2026-09-13
42485	Trachinus collignoni	species	2386484	621617				2026-09-13
42486	Trachinus cornutus	species	2386479	621618				2026-09-13
42487	Trachinus draco	species	2386475	118652				2026-09-13
42488	Trachinus lineolatus	species	2386476	118650				2026-09-13
42489	Trachinus pellegrini	species	2386485	621619				2026-09-13
42490	Trachinus radiatus	species	2386474	120699				2026-09-13
42491	Trachipteridae	family	7675	86108				2026-09-13
42492	Trachipterus	genus	2400484	92581				2026-09-13
42493	Trachipterus altivelis	species	2400494	232769				2026-09-13
42494	Trachipterus arawatae	species		1316120				2026-09-13
42495	Trachipterus arcticus	species	2400507	483238				2026-09-13
42496	Trachipterus fukuzakii	species	2400485	317429				2026-09-13
42497	Trachipterus ishikawae	species	2400492	621620				2026-09-13
42498	Trachipterus jacksonensis	species	2400487	531056				2026-09-13
42499	Trachipterus trachypterus	species	2400496	120663				2026-09-13
42500	Trachonurus	genus	2415994	92582				2026-09-13
42501	Trachonurus gagates	species	2415996	530325				2026-09-13
42502	Trachonurus robinsi	species	2415998	114272				2026-09-13
42503	Trachonurus sentipellis	species	2415995	530326				2026-09-13
42504	Trachonurus sulcatus	species	2416007	617176				2026-09-13
42505	Trachonurus villosus	species	2415999	530327				2026-09-13
42506	Trachonurus yiwardaus	species	2416006	530328				2026-09-13
42507	Trachurus	genus	5428896	92583				2026-09-13
42508	Trachurus capensis	species	5210478	118696				2026-09-13
42509	Trachurus declivis	species	5210481	529709				2026-09-13
42510	Trachurus delagoa	species	5210500	609921				2026-09-13
42511	Trachurus indicus	species	5210485	609922				2026-09-13
42512	Trachurus japonicus	species	5210503	194666				2026-09-13
42513	Trachurus lathami	species	5210468	179447				2026-09-13
42514	Trachurus longimanus	species	5210482	609923				2026-09-13
42515	Trachurus mediterraneus	species	5210496	118694				2026-09-13
42516	Trachurus mediterraneus ponticus	subspecies		1497555				2026-09-13
42517	Trachurus murphyi	species	5210470	114273				2026-09-13
42518	Trachurus novaezelandiae	species	5210479	451739				2026-09-13
42519	Trachurus picturatus	species	5210490	120676				2026-09-13
42520	Trachurus ponticus	species		1315357				2026-09-13
42521	Trachurus symmetricus	species	5210487	114274				2026-09-13
42522	Trachurus trachurus	species	5210473	118695				2026-09-13
42523	Trachurus trecae	species	5210483	609924				2026-09-13
42524	Trachycorystes	genus	2344609	92584				2026-09-13
42525	Trachycorystes menezesi	species	6168241	608899				2026-09-13
42526	Trachycorystes trachycorystes	species	2344610	608901				2026-09-13
42527	Trachydoras	genus	2344035	92586				2026-09-13
42528	Trachydoras brevis	species	2344043	363801				2026-09-13
42529	Trachydoras gepharti	species	10835977	786238				2026-09-13
42530	Trachydoras microstomus	species	2344045	613894				2026-09-13
42531	Trachydoras nattereri	species	2344048	613895				2026-09-13
42532	Trachydoras paraguayensis	species	2344041	613896				2026-09-13
42533	Trachydoras steindachneri	species	2344036	613897				2026-09-13
42534	Trachyglanis	genus	2340845	92587				2026-09-13
42535	Trachyglanis ineac	species	2340848	114278				2026-09-13
42536	Trachyglanis intermedius	species	2340847	114279				2026-09-13
